,camera_0,camera_1,camera_2,camera_3
157,1656236874601593435,1656236874601552102,1656236874601936298,1656236874602342568
158,1656236874701551613,1656236874701482028,1656236874702150710,1656236874702142527
159,1656236874801497663,1656236874801529848,1656236874802332897,1656236874802201122
160,1656236874901690508,1656236874901561955,1656236874902183326,1656236874902164576
161,1656236875001421635,1656236875002555638,1656236875001695179,1656236875003548835
162,1656236875101811194,1656236875101553685,1656236875102102688,1656236875102214275
163,1656236875201659126,1656236875201514749,1656236875202041441,1656236875202276134
164,1656236875301702300,1656236875301528679,1656236875301978209,1656236875302222916
165,1656236875401492630,1656236875401470959,1656236875402271857,1656236875401940406
166,1656236875501627040,1656236875501500281,1656236875502107309,1656236875502283143
167,1656236875601387769,1656236875601472482,1656236875601985419,1656236875602295880
168,1656236875701717933,1656236875701551119,1656236875702048689,1656236875702294344
169,1656236875801747090,1656236875801536119,1656236875801940655,1656236875802283527
170,1656236875901396005,1656236875901514208,1656236875901977620,1656236875902234757
171,1656236876001628788,1656236876001632303,1656236876002642004,1656236876002375244
172,1656236876101270470,1656236876101541428,1656236876101960921,1656236876102378348
173,1656236876201664990,1656236876201515325,1656236876201868408,1656236876202243494
174,1656236876301565277,1656236876301588553,1656236876302088293,1656236876302319306
175,1656236876401603778,1656236876401655830,1656236876402091848,1656236876402283112
176,1656236876501667401,1656236876501448215,1656236876502071915,1656236876502247975
177,1656236876601676654,1656236876601519203,1656236876602103023,1656236876602251879
178,1656236876701762806,1656236876701530349,1656236876701948779,1656236876702122977
179,1656236876801503469,1656236876801458452,1656236876802039571,1656236876802209093
180,1656236876901458511,1656236876901510655,1656236876902174044,1656236876902182212
181,1656236877001635579,1656236877001498568,1656236877002362855,1656236877002654235
182,1656236877101425525,1656236877101493170,1656236877102033116,1656236877102336396
183,1656236877201512573,1656236877201460666,1656236877202119394,1656236877202200614
184,1656236877301579908,1656236877301472004,1656236877302157799,1656236877302375278
185,1656236877401640683,1656236877401559249,1656236877401967970,1656236877402128034
186,1656236877501572588,1656236877501471287,1656236877502001383,1656236877502374094
187,1656236877601516557,1656236877601495938,1656236877601977129,1656236877602169797
188,1656236877701516625,1656236877701486507,1656236877701994860,1656236877702272842
189,1656236877801467314,1656236877801602521,1656236877802013264,1656236877802140996
190,1656236877901491320,1656236877901482078,1656236877902141209,1656236877902232680
191,1656236878001741768,1656236878001610861,1656236878001985013,1656236878002147172
192,1656236878101841675,1656236878101584405,1656236878102005977,1656236878102256842
193,1656236878201673806,1656236878201532700,1656236878202068831,1656236878202227368
194,1656236878301216739,1656236878301466787,1656236878302265099,1656236878302116547
195,1656236878412772454,1656236878401473805,1656236878402151209,1656236878402126756
196,1656236878501911292,1656236878501481047,1656236878502060040,1656236878502207816
197,1656236878601604441,1656236878601440607,1656236878602085836,1656236878602180295
198,1656236878701883634,1656236878701457001,1656236878701665277,1656236878702123876
199,1656236878802222830,1656236878801532214,1656236878802051313,1656236878802171719
200,1656236878901826502,1656236878901538048,1656236878902205115,1656236878902141029
201,1656236879002108703,1656236879001556138,1656236879002804793,1656236879002202793
202,1656236879101630867,1656236879101459727,1656236879102200001,1656236879102328272
203,1656236879201689698,1656236879201451257,1656236879202022652,1656236879202177781
204,1656236879301560615,1656236879301823282,1656236879301954524,1656236879302283750
205,1656236879401585396,1656236879401505870,1656236879402092454,1656236879402205742
206,1656236879501630945,1656236879501536057,1656236879501945762,1656236879502137975
207,1656236879601575818,1656236879601476064,1656236879602108781,1656236879602142979
208,1656236879701360651,1656236879701574606,1656236879701911783,1656236879702245172
209,1656236879801641540,1656236879801440977,1656236879801960940,1656236879802219135
210,1656236879901554475,1656236879901465276,1656236879901667842,1656236879902084036
211,1656236880001895143,1656236880002060383,1656236880001768970,1656236880002275385
212,1656236880101487135,1656236880101546931,1656236880101985335,1656236880101998584
213,1656236880201570254,1656236880201534556,1656236880202006747,1656236880201819995
214,1656236880301442772,1656236880301445857,1656236880302194790,1656236880302725363
215,1656236880401550372,1656236880401538191,1656236880402080900,1656236880402263561
216,1656236880501535439,1656236880501554329,1656236880502070855,1656236880502154896
217,1656236880601569980,1656236880601510433,1656236880601992070,1656236880602153372
218,1656236880701611786,1656236880701540780,1656236880702012874,1656236880702545242
219,1656236880801734203,1656236880801553398,1656236880802010925,1656236880802498020
220,1656236880901351060,1656236880901523102,1656236880902015281,1656236880902107069
221,1656236881001866713,1656236881001819316,1656236881002048949,1656236881002045830
222,1656236881101686011,1656236881101610549,1656236881102314948,1656236881102124915
223,1656236881201916242,1656236881201488473,1656236881202054204,1656236881202129371
224,1656236881301704691,1656236881301530916,1656236881301942618,1656236881302065343
225,1656236881401582649,1656236881401537166,1656236881401925756,1656236881402035045
226,1656236881501587844,1656236881501535832,1656236881502048549,1656236881502079215
227,1656236881601796026,1656236881601521857,1656236881602136076,1656236881602211677
228,1656236881701504311,1656236881701475048,1656236881701985384,1656236881702156289
229,1656236881801657450,1656236881801615544,1656236881802111121,1656236881802227180
230,1656236881901727161,1656236881901513917,1656236881902193944,1656236881902136495
231,1656236882001564220,1656236882001627819,1656236882002220796,1656236882003294734
232,1656236882101354430,1656236882101525937,1656236882101967764,1656236882102265668
233,1656236882201318343,1656236882201507513,1656236882202018617,1656236882202304174
234,1656236882301632962,1656236882301551973,1656236882301984027,1656236882302359448
235,1656236882401688144,1656236882401545902,1656236882402037728,1656236882402415234
236,1656236882501740830,1656236882501529815,1656236882502023907,1656236882502125595
237,1656236882601665030,1656236882601564162,1656236882602035334,1656236882602051487
238,1656236882701682802,1656236882701531402,1656236882702109549,1656236882701820667
239,1656236882801726560,1656236882801545364,1656236882801985578,1656236882802108337
240,1656236882901592261,1656236882901552414,1656236882902023983,1656236882902211837
241,1656236883002413241,1656236883001631211,1656236883002406755,1656236883002343019
242,1656236883101559098,1656236883101459501,1656236883102218558,1656236883102345234
243,1656236883201649642,1656236883202276761,1656236883202083835,1656236883202209779
244,1656236883301320101,1656236883301733292,1656236883301997370,1656236883302075988
245,1656236883401591326,1656236883480513853,1656236883402167493,1656236883402065787
246,1656236883501695215,1656236883524638057,1656236883502119014,1656236883502277613
247,1656236883601414700,1656236883601590115,1656236883602152523,1656236883602198576
248,1656236883701616981,1656236883701577388,1656236883702201776,1656236883702210904
249,1656236883801822426,1656236883801738556,1656236883802180370,1656236883802106939
250,1656236883901870744,1656236883901555166,1656236883902012654,1656236883901900600
251,1656236884002066941,1656236884001731887,1656236884002029298,1656236884002695846
252,1656236884101653444,1656236884101550833,1656236884102089655,1656236884102121810
253,1656236884201609726,1656236884201547930,1656236884202159966,1656236884202128825
254,1656236884301657147,1656236884301528643,1656236884302092286,1656236884302111552
255,1656236884401685208,1656236884401500459,1656236884402060127,1656236884402332434
256,1656236884501419654,1656236884501562391,1656236884502165767,1656236884502058732
257,1656236884601277947,1656236884601494750,1656236884602117032,1656236884602155032
258,1656236884701763758,1656236884701575595,1656236884701928931,1656236884702230787
259,1656236884801722215,1656236884801497137,1656236884801969064,1656236884802248236
260,1656236884901660160,1656236884901543357,1656236884901985932,1656236884902315286
261,1656236885002073263,1656236885001812658,1656236885002074323,1656236885002146934
262,1656236885101821566,1656236885101571249,1656236885101931343,1656236885102059897
263,1656236885201659122,1656236885201572091,1656236885202003638,1656236885202082753
264,1656236885301782099,1656236885301612198,1656236885302017369,1656236885301649300
265,1656236885401568292,1656236885401461801,1656236885402112513,1656236885401648219
266,1656236885501497820,1656236885501660091,1656236885502054113,1656236885501883982
267,1656236885601720771,1656236885601557152,1656236885602103655,1656236885602275336
268,1656236885701881510,1656236885701535497,1656236885702000325,1656236885702499290
269,1656236885801907202,1656236885801538002,1656236885802019273,1656236885802190003
270,1656236885901487113,1656236885901484058,1656236885901704030,1656236885902086901
271,1656236886001894616,1656236886001516645,1656236886001697697,1656236886002803263
272,1656236886101806319,1656236886101556400,1656236886101972368,1656236886102131782
273,1656236886201704549,1656236886201548505,1656236886201872655,1656236886202324791
274,1656236886301598395,1656236886301497120,1656236886301942197,1656236886301858248
275,1656236886401757118,1656236886401599758,1656236886401975962,1656236886401922194
276,1656236886501693431,1656236886501550358,1656236886501929819,1656236886501930490
277,1656236886601557131,1656236886601553503,1656236886601924254,1656236886602233520
278,1656236886701525989,1656236886701499943,1656236886701981571,1656236886702141843
279,1656236886801557922,1656236886801455630,1656236886801971206,1656236886802401863
280,1656236886901246798,1656236886901489241,1656236886902008747,1656236886902154979
281,1656236887002045680,1656236887002295013,1656236887002001742,1656236887002362100
282,1656236887101501137,1656236887101445099,1656236887102061427,1656236887102166834
283,1656236887201566703,1656236887201495222,1656236887201941617,1656236887202354659
284,1656236887301638190,1656236887301488640,1656236887301972054,1656236887302143680
285,1656236887401679979,1656236887401535627,1656236887401883125,1656236887402276014
286,1656236887501596835,1656236887501518676,1656236887502164004,1656236887501738203
287,1656236887601539483,1656236887601520510,1656236887602128422,1656236887602213721
288,1656236887701522998,1656236887701546446,1656236887702085095,1656236887702105276
289,1656236887801551858,1656236887801504476,1656236887803891930,1656236887802199592
290,1656236887901815098,1656236887901545486,1656236887902027723,1656236887902164557
291,1656236888002193512,1656236888001745607,1656236888001530104,1656236888002255897
292,1656236888101310360,1656236888101541454,1656236888102190392,1656236888102077112
293,1656236888201560832,1656236888201455355,1656236888202470216,1656236888202129858
294,1656236888301590205,1656236888301509773,1656236888301824974,1656236888302041605
295,1656236888401651259,1656236888401605698,1656236888402119806,1656236888402212469
296,1656236888501532272,1656236888501575633,1656236888502037886,1656236888502173402
297,1656236888601872860,1656236888601899983,1656236888602055170,1656236888602064348
298,1656236888701814997,1656236888701705782,1656236888702071301,1656236888702277646
299,1656236888801746604,1656236888801628035,1656236888802190798,1656236888802125006
300,1656236888901707398,1656236888901586098,1656236888902064619,1656236888902054194
301,1656236889002058450,1656236889001592098,1656236889001982155,1656236889003166575
302,1656236889101762399,1656236889101572882,1656236889102107475,1656236889102059681
303,1656236889201637652,1656236889201664230,1656236889201956208,1656236889202062537
304,1656236889301233116,1656236889301566866,1656236889301969492,1656236889302078001
305,1656236889401337052,1656236889401479998,1656236889401923189,1656236889402120858
306,1656236889501690569,1656236889501576018,1656236889501708072,1656236889502129058
307,1656236889601791145,1656236889601518144,1656236889601924235,1656236889602428632
308,1656236889701559609,1656236889701505200,1656236889701950726,1656236889702204341
309,1656236889801503697,1656236889801838798,1656236889801884125,1656236889802051893
310,1656236889901495084,1656236889901469519,1656236889902051646,1656236889901824273
311,1656236890002604957,1656236890001516097,1656236890002064441,1656236890002168553
312,1656236890101587303,1656236890101547602,1656236890101975823,1656236890102103437
313,1656236890201510015,1656236890201496672,1656236890202003850,1656236890202150423
314,1656236890301706244,1656236890301540433,1656236890302000163,1656236890302069147
315,1656236890401558808,1656236890401557249,1656236890401966459,1656236890401980254
316,1656236890501316135,1656236890501509999,1656236890501994358,1656236890501995302
317,1656236890601262784,1656236890601595138,1656236890601984624,1656236890602089522
318,1656236890701933724,1656236890701505774,1656236890702031915,1656236890702078617
319,1656236890801739118,1656236890801551359,1656236890802062919,1656236890802068480
320,1656236890901790539,1656236890901552655,1656236890902185926,1656236890902247376
321,1656236891002162393,1656236891001833322,1656236891002033625,1656236891002431104
322,1656236891101701150,1656236891101521197,1656236891101974544,1656236891102123129
323,1656236891201563634,1656236891201493211,1656236891202126992,1656236891202141473
324,1656236891301743606,1656236891301534732,1656236891302030086,1656236891302489817
325,1656236891401683598,1656236891401551420,1656236891402168774,1656236891402146352
326,1656236891501641992,1656236891501517611,1656236891502029913,1656236891502314655
327,1656236891601780394,1656236891601509722,1656236891601930383,1656236891602067547
328,1656236891701118533,1656236891701599117,1656236891701999467,1656236891702251787
329,1656236891801853092,1656236891801523322,1656236891802055080,1656236891802200752
330,1656236891901795996,1656236891901494856,1656236891901927516,1656236891902093042
331,1656236892001816569,1656236892001538681,1656236892003084233,1656236892003378328
332,1656236892101798899,1656236892101852822,1656236892101964049,1656236892102114754
333,1656236892201588164,1656236892201469653,1656236892201963467,1656236892202092137
334,1656236892301587871,1656236892301459397,1656236892302043976,1656236892302128338
335,1656236892401688831,1656236892401596922,1656236892401975775,1656236892401990066
336,1656236892501513778,1656236892501472324,1656236892501949847,1656236892502062013
337,1656236892601500301,1656236892601530006,1656236892601973330,1656236892602027075
338,1656236892701489960,1656236892701470435,1656236892702054671,1656236892702097070
339,1656236892801445025,1656236892801513077,1656236892802083978,1656236892801977936
340,1656236892901236114,1656236892901459842,1656236892902045250,1656236892902402667
341,1656236893001448023,1656236893001630841,1656236893002102783,1656236893002131494
342,1656236893101760994,1656236893101521060,1656236893101771850,1656236893102190576
343,1656236893201794111,1656236893201821152,1656236893202068721,1656236893202048529
344,1656236893301718902,1656236893301593990,1656236893302160366,1656236893302104827
345,1656236893401605420,1656236893401487409,1656236893401998945,1656236893402035679
346,1656236893501571334,1656236893501468960,1656236893501996283,1656236893501800987
347,1656236893601642692,1656236893601462287,1656236893601931986,1656236893602118354
348,1656236893701550715,1656236893701446430,1656236893701952268,1656236893702240479
349,1656236893801938569,1656236893801522320,1656236893801999592,1656236893802276456
350,1656236893901618421,1656236893901946258,1656236893901998434,1656236893902184107
351,1656236894001833627,1656236894001517359,1656236894002803071,1656236894002719468
352,1656236894101245562,1656236894101619011,1656236894101847695,1656236894102063220
353,1656236894201657769,1656236894201580721,1656236894201982318,1656236894202215139
354,1656236894301620482,1656236894301575648,1656236894302107054,1656236894302294446
355,1656236894401759844,1656236894401563216,1656236894402086566,1656236894402337879
356,1656236894501823732,1656236894501455547,1656236894501951866,1656236894502411586
357,1656236894601649298,1656236894601520333,1656236894601971413,1656236894602039064
358,1656236894701552180,1656236894701428600,1656236894702030097,1656236894702013854
359,1656236894801624478,1656236894801494251,1656236894802046828,1656236894801851006
360,1656236894901623428,1656236894901440536,1656236894902064358,1656236894901797154
361,1656236895001968124,1656236895001473033,1656236895002326923,1656236895001779881
362,1656236895101624530,1656236895101446583,1656236895102200608,1656236895102301546
363,1656236895201544596,1656236895201540619,1656236895201907660,1656236895202186539
364,1656236895301225964,1656236895301551163,1656236895302026347,1656236895302008938
365,1656236895401613125,1656236895401507689,1656236895402069799,1656236895402110423
366,1656236895501640590,1656236895501521305,1656236895501717265,1656236895502385003
367,1656236895601639316,1656236895601555018,1656236895601684778,1656236895602270765
368,1656236895701553655,1656236895701589851,1656236895701694628,1656236895702296726
369,1656236895801050437,1656236895801526216,1656236895801792322,1656236895802306846
370,1656236895901703084,1656236895901562873,1656236895901732345,1656236895901902194
371,1656236896002319281,1656236896001871861,1656236896003107631,1656236896002359343
372,1656236896101600117,1656236896101490453,1656236896101917493,1656236896102197199
373,1656236896201656382,1656236896201480292,1656236896201996114,1656236896202234104
374,1656236896301604419,1656236896301502132,1656236896302145138,1656236896302404519
375,1656236896401721231,1656236896401523237,1656236896402155020,1656236896402250151
376,1656236896501413959,1656236896501495283,1656236896502165702,1656236896502358100
377,1656236896601516755,1656236896601532548,1656236896602010105,1656236896602264823
378,1656236896701528218,1656236896701993671,1656236896701707334,1656236896702271967
379,1656236896801546018,1656236896801990071,1656236896801930889,1656236896802404397
380,1656236896901587563,1656236896901504722,1656236896902138476,1656236896902262797
381,1656236897001695767,1656236897001511010,1656236897002154535,1656236897002195409
382,1656236897101528438,1656236897101531794,1656236897101991673,1656236897101948013
383,1656236897201492955,1656236897201566403,1656236897202132889,1656236897201892371
384,1656236897301517507,1656236897301494800,1656236897302043567,1656236897302092389
385,1656236897401623951,1656236897401574051,1656236897402080714,1656236897402335289
386,1656236897501537970,1656236897501543825,1656236897502261324,1656236897502098358
387,1656236897601577690,1656236897601527040,1656236897602044316,1656236897602175266
388,1656236897701114251,1656236897701568401,1656236897702070007,1656236897702064100
